"TreeID","X","Y","Elevation","Height_m","CBH_m","MinCrownDia_m","MaxCrownDia_m","rotation","R","G","B","DBH_m","LeanFromVertical","LeanAzimuth","StatusCode"
"48_1_ABAM",419419.121947,5288605.06833,0,19.9170644552512,11.9502386731507,3.18673031284019,3.18673031284019,0,255,192,0,0.286,0,0,0
"48_2_ABAM",419416.080553,5288603.15141,0,25.3672496304676,15.2203497782806,4.05875994087482,4.05875994087482,0,255,192,0,0.374,0,0,0
"48_3_ABAM",419408.551228,5288602.51773,0,26.2891501013447,15.7734900608068,4.20626401621515,4.20626401621515,0,0,192,0,0.39,0,0,0
"48_4_TSHE",419410.368539,5288600.62671,0,25.4854242472574,15.2912545483544,4.07766787956118,4.07766787956118,0,255,192,0,0.35,0,0,0
"48_5_TSHE",419406.143944,5288600.47904,0,25.8079377240991,15.4847626344594,4.12927003585585,4.12927003585585,0,255,192,0,0.356,0,0,0
"48_6_ABAM",419402.093405,5288595.81165,0,23.2790279640012,13.9674167784007,3.7246444742402,3.7246444742402,0,255,192,0,0.339,0,0,0
"48_7_TSHE",419400.403951,5288594.28202,0,26.8079308895223,16.0847585337134,4.28926894232357,4.28926894232357,0,0,192,0,0.375,0,0,0
"48_8_ABAM",419398.296779,5288591.4004,0,13.983465287059,8.3900791722354,2.23735444592944,2.23735444592944,0,0,192,0,0.201,0,0,0
"48_9_TSHE",419396.077737,5288589.92837,0,35.9359966498129,21.5615979898878,5.74975946397007,5.74975946397007,0,0,192,0,0.58,0,0,0
"48_10_TSHE",419400.045272,5288581.39313,0,28.6680364709484,17.200821882569,4.58688583535174,4.58688583535174,0,255,192,0,0.412,0,0,0
"48_11_TSHE",419403.118817,5288574.45551,0,29.4867482847575,17.6920489708545,4.71787972556119,4.71787972556119,0,0,192,0,0.429,0,0,0
"48_12_TSHE",419403.574551,5288574.05935,0,29.770614326391,17.8623685958346,4.76329829222256,4.76329829222256,0,0,192,0,0.435,0,0,0
"48_13_TSHE",419405.090457,5288575.01895,0,26.5478493122027,15.9287095873216,4.24765588995243,4.24765588995243,0,255,192,0,0.37,0,0,0
"48_14_TSHE",419407.544776,5288574.92775,0,36.0128824614777,21.6077294768866,5.76206119383644,5.76206119383644,0,255,192,0,0.582,0,0,0
"48_15_ABAM",419412.76027,5288573.54719,0,37.8820102969192,22.7292061781515,6.06112164750707,6.06112164750707,0,255,192,0,0.625,0,0,0
"48_16_TSHE",419418.880025,5288570.5258,0,28.3738430470826,17.0243058282495,4.53981488753321,4.53981488753321,0,255,192,0,0.406,0,0,0
"48_17_ABAM",419421.71024,5288572.26721,0,28.2383531600444,16.9430118960267,4.51813650560711,4.51813650560711,0,255,192,0,0.425,0,0,0
"48_18_ABAM",419422.883882,5288573.68295,0,29.2064646537254,17.5238787922353,4.67303434459607,4.67303434459607,0,255,192,0,0.443,0,0,0
"48_19_TSHE",419424.54536,5288574.70374,0,6.71565013501811,4.02939008101087,1.0745040216029,1.0745040216029,0,0,192,0,0.083,0,0,0
"48_20_TSHE",419424.791625,5288574.38854,0,8.80369873466349,5.28221924079809,1.40859179754616,1.40859179754616,0,0,192,0,0.107,0,0,0
"48_21_TSHE",419428.27158,5288577.08106,0,26.3382191481545,15.8029314888927,4.21411506370471,4.21411506370471,0,255,192,0,0.366,0,0,0
"48_22_ABAM",419434.786034,5288581.92848,0,32.179340819397,19.3076044916382,5.14869453110351,5.14869453110351,0,255,192,0,0.501,0,0,0
"48_23_TSHE",419432.285865,5288592.35608,0,30.4690740411535,18.2814444246921,4.87505184658456,4.87505184658456,0,255,192,0,0.45,0,0,0
"48_24_ABAM",419429.440001,5288595.15209,0,17.6942207893763,10.6165324736258,2.83107532630021,2.83107532630021,0,0,192,0,0.253,0,0,0
"48_25_ABAM",419427.298426,5288598.2681,0,35.2245378228158,21.1347226936895,5.63592605165053,5.63592605165053,0,255,192,0,0.565,0,0,0
"48_26_ABAM",419422.63961,5288602.90453,0,28.5635731241772,17.1381438745063,4.57017169986835,4.57017169986835,0,255,192,0,0.431,0,0,0
